"Average","Stdev"
0.669661204808264,0.156203383671394
0.439357064504123,0.102631237627528
0.592659007659008,0.119006204582342
0.535008186258186,0.0958058279925875
0.549686147186147,0.106496923752082
0.556748806748807,0.127364980341484
0.520421245421245,0.108569139574517
0.557016317016317,0.133836898144823
0.424969736146207,0.091267139566824
0.652690365190365,0.153648122454066
0.580710955710956,0.137162198752215
0.699318181818182,0.0977930383552891
0.482528027528028,0.115740863414076
0.666615884115884,0.152906053347516
0.548113275613276,0.0873272213711645
0.654587912087912,0.200395002234856
0.752874902874903,0.163623879184523
0.701781274281274,0.151408806791368
0.664419191919192,0.156622708731912
0.668463480963481,0.133443326061178
