"Average","Stdev"
0.786320346320346,0.170194798602648
0.785378787878788,0.173041262358333
0.599020146520147,0.103914012253603
0.705039682539683,0.126229292380768
0.659927572427572,0.123017767033678
0.694306526806527,0.132860650214104
0.676167027417027,0.129820011908626
0.672268842268842,0.0950361397954772
0.64972582972583,0.11021077708073
0.651789044289044,0.0953853121148539
0.642180458430458,0.135559968965016
0.632420357420357,0.127711163722201
0.585399877899878,0.120370853651827
0.631871739371739,0.128220782567915
0.631129148629149,0.147247405178896
0.785238095238095,0.156607655469079
0.715546536796537,0.12823186944789
0.734289044289044,0.197795741455923
0.602111222111222,0.143417117275321
0.753228438228438,0.197523604133398
