"Average","Stdev"
0.833041958041958,0.163811625799893
0.858041958041958,0.14766761540613
0.863636363636364,0.139906138920703
0.9,0.128226094358626
0.862296037296037,0.163251760711123
0.904545454545455,0.133461950435344
0.878030303030303,0.142004114133072
0.803904428904429,0.183577922692064
0.801223776223776,0.129178709850205
0.87486013986014,0.145831219158092
0.807727272727273,0.129282659663252
0.818951048951049,0.140456751052322
0.83986013986014,0.151603081230412
0.853496503496504,0.153200287137385
0.877272727272727,0.139204850600193
0.851602564102564,0.181555151680979
0.815984848484849,0.144090389197371
0.82965367965368,0.153635683446208
0.586428571428571,0.106549736751052
0.846981351981352,0.163525918765886
