"Average","Stdev"
0.99375,0.0279508497187474
0.98125,0.0457934435665654
0.98125,0.0457934435665654
0.966666666666667,0.0814105663405607
0.977777777777778,0.0683985568056769
0.954166666666667,0.085033819667997
0.941666666666667,0.0866306717874621
0.988888888888889,0.0496903994999953
0.952777777777778,0.0783603909969379
0.977083333333333,0.0782144955231543
0.954166666666667,0.085033819667997
0.94375,0.105531987981509
0.948611111111111,0.0995543187318744
0.883333333333333,0.0683985568056769
0.948611111111111,0.0995543187318744
0.971527777777778,0.071883342383898
0.9725,0.0747363787976744
0.971527777777778,0.071883342383898
0.788888888888889,0.0797983162732898
0.966666666666667,0.0814105663405607
