"Average","Stdev"
0.476886333480761,0.100029175802063
0.344661101282618,0.0788680452215812
0.543674230825934,0.145501860868199
0.494892869428473,0.10794427671872
0.667905085110967,0.14928730217212
0.566056050287861,0.103673398251049
0.554412254412254,0.11977853348204
0.571480738044206,0.133284044122168
0.606073696685152,0.125895790999538
0.645347106453918,0.13735231841432
0.562494172494173,0.127095990801123
0.57046537913411,0.109380818806235
0.586752726118051,0.142415323748918
0.660808325661267,0.130800198265661
0.490400818222026,0.102140445368583
0.64796697626419,0.128122073508343
0.566502327651708,0.128228426818971
0.60449639369918,0.107565448225655
0.46819124073381,0.0675499372362343
0.587125472996216,0.107463873181454
