PC, FCI, GES, LiNGAM
0.6575408415114298,0.4788351925851925,0.6675388745241686,0.5404470391516409
0.6103414172686618,0.260251554001554,0.5703027528027527,0.22860832452059682
0.49765556661261,0.4938099400599401,0.5958339169000934,0.3990868284224538
0.7548701298701298,0.5491071428571429,0.6745290285479913,0.5307060137531734
0.5742929292929293,0.5273809523809525,0.5764084812246576,0.4507007274564564
0.6416919191919193,0.53375,0.5300840005367868,0.39431184540150455
0.6240277777777778,0.22803571428571429,0.6401587995337995,0.3976921935102541
0.6386868686868687,0.5839682539682538,0.7476817176145819,0.49050549310466807
0.5921270396270396,0.4794642857142858,0.6694841269841268,0.2562410746075049
0.43645299145299143,0.21767857142857147,0.43453534790802595,0.31923688904111713
0.6980555555555557,0.4717460317460317,0.7320502046972636,0.5928688109424713
0.5325992063492063,0.19416666666666668,0.6274296536796535,0.5072713834720803
0.7326587301587302,0.6254166666666666,0.5138201381951382,0.35403479631978635
0.5792261904761904,0.4156349206349207,0.5462545787545788,0.4437181555180062
0.8794642857142858,0.6958333333333334,0.901666666666667,0.7166823451602864
0.9000000000000001,1.0,0.7681818181818183,0.9425000000000001
0.99,1.0,0.9230303030303029,0.6323153192789921
0.9833333333333332,1.0,0.826527777777778,0.8316031807459826
1.0,1.0,0.9252272727272727,0.5564440413270997
0.9383333333333332,0.8625,0.9111363636363636,0.7936080586080586
0.8654761904761905,0.4866666666666667,0.8011111111111113,0.8200895550527904
0.96875,0.9,0.8863636363636364,0.7534453781512607
0.7586309523809522,0.23583333333333334,0.8928030303030301,0.7525437062937061
0.9452380952380951,0.8166666666666668,0.9586868686868687,0.6379837012402803
0.9083333333333332,0.6333333333333334,0.8785858585858588,0.8772893772893774

