Row,Column,PC, FCI, GES, LiNGAM
0,1,0.37777777777777777,0.10869565217391304,0.2911392405063291,0.2981366459627329
0,2,0.45714285714285713,0.08108108108108109,0.373134328358209,0.2975206611570248
0,3,0.4117647058823529,0.2,0.3898305084745763,0.2537313432835821
0,4,0.38095238095238093,0.21621621621621623,0.2875,0.16774193548387098
1,2,0.46153846153846156,0.28125,0.37662337662337664,0.2911392405063291
1,3,0.38461538461538464,0.2647058823529412,0.352112676056338,0.2573099415204678
1,4,0.391304347826087,0.09523809523809523,0.39285714285714285,0.193717277486911
2,3,0.4827586206896552,0.23076923076923078,0.34375,0.24427480916030533
2,4,0.4722222222222222,0.12903225806451613,0.27380952380952384,0.15789473684210525
3,4,0.42857142857142855,0.27586206896551724,0.3287671232876712,0.23841059602649006
